macro_frame,sim_time,packet,object_id,tag,v0,v1,v2,v3,v4,v5,v6,v7
188,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
188,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
188,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
188,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
188,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
188,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
188,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
189,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
189,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
189,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
189,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
189,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
189,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
189,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
189,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
189,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
189,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
189,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
189,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
189,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
190,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
190,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
190,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
190,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
190,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
190,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
190,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
190,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
190,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
190,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
190,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
190,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
190,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
191,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
191,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
191,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
191,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
191,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
191,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
191,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
191,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
191,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
191,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
191,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
191,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
191,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
192,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
192,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
192,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
192,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
192,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
192,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
192,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
192,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
192,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
192,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
192,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
192,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
192,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
193,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
193,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
193,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
193,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
193,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
193,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
193,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
193,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
193,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
193,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
193,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
193,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
193,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
194,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
194,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
194,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
194,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
194,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
194,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
194,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
194,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
194,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
194,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
194,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
194,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
194,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
195,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
195,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
195,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
195,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
195,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
195,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
195,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
195,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
195,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
195,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
195,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
195,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
195,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
196,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
196,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
196,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
196,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
196,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
196,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
196,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
196,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
196,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
196,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
196,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
196,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
196,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
197,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
197,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
197,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
197,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
197,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
197,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
197,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
197,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
197,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
197,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
197,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
197,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
197,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
198,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
198,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
198,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
198,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
198,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
198,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
198,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
198,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
198,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
198,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
198,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
198,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
198,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
199,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
199,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
199,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
199,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
199,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
199,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
199,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
199,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
199,0.000000,A,gripper_r_finger2_body_q,pos,0,0,0,-0.881916761,0.146489605,-0.0734185129,-0.442010522,0
199,0.000000,A,gripper_r_finger2_body_v,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_r_finger2_body_w,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_r_palm_body_p,pos,0.460000038,0,0.709999979,1,0,0,0,0
199,0.000000,A,gripper_r_palm_body_q,pos,0,0,0,-0.364463329,-0.260633945,0.727193236,0.520025432,0
199,0.000000,A,gripper_r_palm_body_v,vel,0,0,0,0,0,0,0,0
199,0.000000,A,gripper_r_palm_body_w,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_l_finger1_body_p,pos,-0.460000038,0,0.689999938,1,0,0,0,0
200,0.000000,A,gripper_l_finger1_body_q,pos,0,0,0,0.0734155476,0.441994518,0.881924808,-0.14649114,0
200,0.000000,A,gripper_l_finger1_body_v,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_l_finger1_body_w,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_l_finger2_body_p,pos,-0.460000038,0,0.690000057,1,0,0,0,0
200,0.000000,A,gripper_l_finger2_body_q,pos,0,0,0,-0.881916404,0.146489501,0.0734184608,0.442011327,0
200,0.000000,A,gripper_l_finger2_body_v,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_l_finger2_body_w,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_l_palm_body_p,pos,-0.460000038,0,0.709999919,1,0,0,0,0
200,0.000000,A,gripper_l_palm_body_q,pos,0,0,0,0.364463866,0.260634571,0.727192879,0.520025253,0
200,0.000000,A,gripper_l_palm_body_v,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_l_palm_body_w,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_r_finger1_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
200,0.000000,A,gripper_r_finger1_body_q,pos,0,0,0,-0.0734211877,-0.44202736,0.881908298,-0.146488443,0
200,0.000000,A,gripper_r_finger1_body_v,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_r_finger1_body_w,vel,0,0,0,0,0,0,0,0
200,0.000000,A,gripper_r_finger2_body_p,pos,0.460000038,0,0.689999998,1,0,0,0,0
